Datum,Verzija,Modra_Stran,Rdeca_Stran,Zmagovalec,Modri_Igralci,Rdeci_Igralci,Liga
2019-03-16,9.5,SK Gaming,FC Schalke 04 Esports,SK Gaming,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-03-16,9.5,Fnatic,Splyce,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-03-16,9.5,Excel Esports,Origen,Origen,"['Expect', ' Caedrel', ' Special', ' Jeskla', ' Mystiques']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-03-16,9.5,Team Vitality,SK Gaming,SK Gaming,"['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']","['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']",LEC
2019-03-16,9.5,Rogue (European Team),FC Schalke 04 Esports,FC Schalke 04 Esports,"['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-03-16,9.5,G2 Esports,Misfits Gaming,Misfits Gaming,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' promisq']","['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']",LEC
2019-03-15,9.5,FC Schalke 04 Esports,Origen,Origen,"['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-03-15,9.5,Excel Esports,Team Vitality,Excel Esports,"['Expect', ' Caedrel', ' Special', ' Jeskla', ' Mystiques']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-03-15,9.5,Fnatic,G2 Esports,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Wunder', ' Jankos', ' Caps', ' Perkz', ' promisq']",LEC
2019-03-15,9.5,SK Gaming,Rogue (European Team),SK Gaming,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']",LEC
2019-03-15,9.5,Misfits Gaming,Splyce,Splyce,"['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-03-09,9.4,Team Vitality,G2 Esports,G2 Esports,"['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']","['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']",LEC
2019-03-09,9.4,Rogue (European Team),Origen,Origen,"['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-03-09,9.4,Excel Esports,Fnatic,Fnatic,"['Expect', ' Caedrel', ' Special', ' Jeskla', ' Mystiques']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-03-09,9.4,SK Gaming,Splyce,Splyce,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-03-09,9.4,Misfits Gaming,FC Schalke 04 Esports,FC Schalke 04 Esports,"['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-03-08,9.4,Fnatic,Misfits Gaming,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']",LEC
2019-03-08,9.4,Team Vitality,Rogue (European Team),Team Vitality,"['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']","['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']",LEC
2019-03-08,9.4,SK Gaming,Origen,Origen,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-03-08,9.4,FC Schalke 04 Esports,Excel Esports,Excel Esports,"['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']","['Expect', ' Caedrel', ' Special', ' Jeskla', ' Mystiques']",LEC
2019-03-08,9.4,G2 Esports,Splyce,Splyce,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-03-02,9.4,Origen,Team Vitality,Origen,"['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']","['Cabochard', ' Mowgli', ' Saken', ' Attila', ' Jactroll']",LEC
2019-03-02,9.4,Misfits Gaming,Excel Esports,Misfits Gaming,"['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']","['Expect', ' Caedrel', ' Special', ' Jeskla', ' kaSing']",LEC
2019-03-02,9.4,Fnatic,Rogue (European Team),Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Finn', ' Kikis', ' Sencux', ' HeaQ', ' Vander']",LEC
2019-03-02,9.4,FC Schalke 04 Esports,Splyce,Splyce,"['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-03-02,9.4,G2 Esports,SK Gaming,SK Gaming,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']",LEC
2019-03-01,9.4,Fnatic,FC Schalke 04 Esports,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-03-01,9.4,G2 Esports,Rogue (European Team),G2 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Finn', ' Kikis', ' Sencux', ' HeaQ', ' Vander']",LEC
2019-03-01,9.4,Team Vitality,Misfits Gaming,Team Vitality,"['Cabochard', ' Mowgli', ' Saken', ' Attila', ' Jactroll']","['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']",LEC
2019-03-01,9.4,SK Gaming,Excel Esports,Excel Esports,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Expect', ' Caedrel', ' Special', ' Jeskla', ' kaSing']",LEC
2019-03-01,9.4,Origen,Splyce,Origen,"['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-02-23,9.3,Fnatic,Team Vitality,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-02-23,9.3,Rogue (European Team),Splyce,Splyce,"['Finn', ' Kikis', ' Sencux', ' HeaQ', ' Vander']","['Orome', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-02-23,9.3,Origen,Misfits Gaming,Misfits Gaming,"['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']","['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']",LEC
2019-02-23,9.3,SK Gaming,FC Schalke 04 Esports,SK Gaming,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-02-23,9.3,Excel Esports,G2 Esports,G2 Esports,"['Expect', ' Caedrel', ' Special', ' Jeskla', ' kaSing']","['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']",LEC
2019-02-22,9.3,Fnatic,Origen,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-02-22,9.3,SK Gaming,Misfits Gaming,Misfits Gaming,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']",LEC
2019-02-22,9.3,Splyce,Team Vitality,Team Vitality,"['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-02-22,9.3,Excel Esports,Rogue (European Team),Rogue (European Team),"['Expect', ' Caedrel', ' Special', ' Jeskla', ' kaSing']","['Finn', ' Kikis', ' Sencux', ' HeaQ', ' Vander']",LEC
2019-02-22,9.3,G2 Esports,FC Schalke 04 Esports,G2 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-02-16,9.3,G2 Esports,Origen,Origen,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-02-16,9.3,Misfits Gaming,Rogue (European Team),Rogue (European Team),"['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']","['Finn', ' Kikis', ' Sencux', ' HeaQ', ' Vander']",LEC
2019-02-16,9.3,FC Schalke 04 Esports,Team Vitality,Team Vitality,"['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-02-16,9.3,Splyce,Excel Esports,Splyce,"['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']","['Expect', ' Caedrel', ' Special', ' Jeskla', ' kaSing']",LEC
2019-02-16,9.3,SK Gaming,Fnatic,SK Gaming,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-02-15,9.3,Misfits Gaming,G2 Esports,G2 Esports,"['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']","['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']",LEC
2019-02-15,9.3,Rogue (European Team),FC Schalke 04 Esports,FC Schalke 04 Esports,"['Finn', ' Kikis', ' Sencux', ' HeaQ', ' Vander']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-02-15,9.3,Team Vitality,SK Gaming,SK Gaming,"['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']","['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']",LEC
2019-02-15,9.3,Origen,Excel Esports,Origen,"['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']","['Expect', ' Caedrel', ' Special', ' Jeskla', ' kaSing']",LEC
2019-02-15,9.3,Fnatic,Splyce,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-02-09,9.2,G2 Esports,Fnatic,G2 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-02-09,9.2,Team Vitality,Excel Esports,Team Vitality,"['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']","['Expect', ' Caedrel', ' Exile', ' Jeskla', ' kaSing']",LEC
2019-02-09,9.2,Splyce,Misfits Gaming,Splyce,"['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']","['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']",LEC
2019-02-09,9.2,SK Gaming,Rogue (European Team),SK Gaming,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']",LEC
2019-02-09,9.2,FC Schalke 04 Esports,Origen,Origen,"['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-02-08,9.2,G2 Esports,Team Vitality,G2 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-02-08,9.2,Fnatic,Excel Esports,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Expect', ' Caedrel', ' Exile', ' Jeskla', ' kaSing']",LEC
2019-02-08,9.2,Origen,Rogue (European Team),Origen,"['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']","['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']",LEC
2019-02-08,9.2,SK Gaming,Splyce,Splyce,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-02-08,9.2,FC Schalke 04 Esports,Misfits Gaming,FC Schalke 04 Esports,"['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']","['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']",LEC
2019-02-02,9.2,Misfits Gaming,Fnatic,Misfits Gaming,"['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-02-02,9.2,Rogue (European Team),Team Vitality,Team Vitality,"['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-02-02,9.2,SK Gaming,Origen,Origen,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-02-02,9.2,Excel Esports,FC Schalke 04 Esports,FC Schalke 04 Esports,"['Expect', ' Caedrel', ' Exile', ' Jeskla', ' kaSing']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-02-02,9.2,G2 Esports,Splyce,G2 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-02-01,9.2,Team Vitality,Origen,Team Vitality,"['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-02-01,9.2,Excel Esports,Misfits Gaming,Excel Esports,"['Expect', ' Caedrel', ' Exile', ' Jeskla', ' kaSing']","['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']",LEC
2019-02-01,9.2,Fnatic,Rogue (European Team),Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']",LEC
2019-02-01,9.2,Splyce,FC Schalke 04 Esports,FC Schalke 04 Esports,"['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-02-01,9.2,SK Gaming,G2 Esports,G2 Esports,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']",LEC
2019-01-26,9.1,Misfits Gaming,Team Vitality,Team Vitality,"['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-01-26,9.1,Splyce,Origen,Splyce,"['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-01-26,9.1,G2 Esports,Rogue (European Team),G2 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']",LEC
2019-01-26,9.1,SK Gaming,Excel Esports,SK Gaming,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Expect', ' Caedrel', ' Exile', ' Jeskla', ' kaSing']",LEC
2019-01-26,9.1,FC Schalke 04 Esports,Fnatic,FC Schalke 04 Esports,"['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-01-25,9.1,Origen,Misfits Gaming,Misfits Gaming,"['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']","['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']",LEC
2019-01-25,9.1,FC Schalke 04 Esports,SK Gaming,FC Schalke 04 Esports,"['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']","['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']",LEC
2019-01-25,9.1,G2 Esports,Excel Esports,G2 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Expect', ' Caedrel', ' Exile', ' Jeskla', ' kaSing']",LEC
2019-01-25,9.1,Rogue (European Team),Splyce,Splyce,"['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-01-25,9.1,Team Vitality,Fnatic,Team Vitality,"['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-01-19,9.1,Fnatic,Origen,Origen,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-01-19,9.1,Misfits Gaming,SK Gaming,Misfits Gaming,"['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']","['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']",LEC
2019-01-19,9.1,Splyce,Team Vitality,Team Vitality,"['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-01-19,9.1,Excel Esports,Rogue (European Team),Excel Esports,"['Expect', ' Caedrel', ' Exile', ' Jeskla', ' kaSing']","['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']",LEC
2019-01-19,9.1,G2 Esports,FC Schalke 04 Esports,G2 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-01-18,9.1,Origen,G2 Esports,G2 Esports,"['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']","['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']",LEC
2019-01-18,9.1,Rogue (European Team),Misfits Gaming,Misfits Gaming,"['Profit', ' Kikis', ' Sencux', ' HeaQ', ' Wadid']","['sOAZ', ' Maxlore', ' Febiven', ' Hans Sama', ' Gorilla']",LEC
2019-01-18,9.1,Team Vitality,FC Schalke 04 Esports,FC Schalke 04 Esports,"['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']","['Odoamne', ' Memento', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-01-18,9.1,Splyce,Excel Esports,Splyce,"['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']","['Expect', ' Caedrel', ' Exile', ' Jeskla', ' kaSing']",LEC
2019-01-18,9.1,Fnatic,SK Gaming,SK Gaming,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']",LEC
2019-04-14,9.6,Origen,G2 Esports,G2 Esports,"['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']","['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']",LEC
2019-04-14,9.6,Origen,G2 Esports,G2 Esports,"['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']","['Wunder', ' Perkz', ' Mikyx', ' Jankos', ' Caps']",LEC
2019-04-14,9.6,G2 Esports,Origen,G2 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-04-13,9.6,Origen,Fnatic,Origen,"['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-04-13,9.6,Fnatic,Origen,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-04-13,9.6,Fnatic,Origen,Origen,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-04-13,9.6,Origen,Fnatic,Origen,"['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-04-06,9.6,G2 Esports,Origen,G2 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-04-06,9.6,G2 Esports,Origen,G2 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-04-06,9.6,G2 Esports,Origen,G2 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-04-05,9.6,Splyce,Fnatic,Fnatic,"['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-04-05,9.6,Fnatic,Splyce,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-04-05,9.6,Splyce,Fnatic,Splyce,"['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-04-05,9.6,Fnatic,Splyce,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-03-30,9.6,SK Gaming,Splyce,Splyce,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-03-30,9.6,Splyce,SK Gaming,Splyce,"['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']","['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']",LEC
2019-03-30,9.6,SK Gaming,Splyce,Splyce,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-03-30,9.6,SK Gaming,Splyce,SK Gaming,"['Werlyb', ' Selfmade', ' Pirean', ' Crownshot', ' Dreams']","['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']",LEC
2019-03-29,9.6,Team Vitality,Fnatic,Fnatic,"['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-03-29,9.6,Fnatic,Team Vitality,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-03-29,9.6,Fnatic,Team Vitality,Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-08-17,9.15,SK Gaming,Team Vitality,Team Vitality,"['Sacre', ' Selfmade', ' Jenax', ' Crownshot', ' Dreams']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-08-17,9.15,Fnatic,Rogue (European Team),Fnatic,"['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']","['Finn', ' Inspired', ' Larssen', ' Woolite', ' Vander']",LEC
2019-08-17,9.15,Excel Esports,G2 Esports,G2 Esports,"['Expect', ' Caedrel', ' Mickey', ' Jeskla', ' Mystiques']","['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']",LEC
2019-08-17,9.15,FC Schalke 04 Esports,Team Vitality,FC Schalke 04 Esports,"['Odoamne', ' Trick', ' Abbedagge', ' Upset', ' IgNar']","['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']",LEC
2019-08-17,9.15,Origen,SK Gaming,SK Gaming,"['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']","['Sacre', ' Selfmade', ' Jenax', ' Crownshot', ' Dreams']",LEC
2019-08-17,9.15,Splyce,Misfits Gaming,Misfits Gaming,"['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']","['Dan Dan', ' Kirei', ' LIDER', ' Hans Sama', ' H1IVA']",LEC
2019-08-16,9.15,G2 Esports,FC Schalke 04 Esports,FC Schalke 04 Esports,"['Wunder', ' Jankos', ' Caps', ' Perkz', ' Mikyx']","['Odoamne', ' Trick', ' Abbedagge', ' Upset', ' IgNar']",LEC
2019-08-16,9.15,Rogue (European Team),Origen,Rogue (European Team),"['Finn', ' Inspired', ' Larssen', ' Woolite', ' Vander']","['Alphari', ' Kold', ' Nukeduck', ' Patrik', ' Mithy']",LEC
2019-08-16,9.15,Splyce,Fnatic,Fnatic,"['Vizicsacsi', ' Xerxe', ' Humanoid', ' Kobbe', ' Norskeren']","['Bwipo', ' Broxah', ' Nemesis', ' Rekkles', ' Hylissang']",LEC
2019-08-16,9.15,Excel Esports,SK Gaming,SK Gaming,"['Expect', ' Caedrel', ' Mickey', ' Jeskla', ' Mystiques']","['Sacre', ' Selfmade', ' Jenax', ' Crownshot', ' Dreams']",LEC
2019-08-16,9.15,Team Vitality,Misfits Gaming,Misfits Gaming,"['Cabochard', ' Mowgli', ' Jiizuke', ' Attila', ' Jactroll']","['Dan Dan', ' Kirei', ' LIDER', ' Hans Sama', ' H1IVA']",LEC
