Datum,Verzija,Modra_Stran,Rdeca_Stran,Zmagovalec,Modri_Igralci,Rdeci_Igralci,Liga
2022-06-17,12.11,Excel Esports,Misfits Gaming,Excel Esports,"['Finn', ' Markoon', ' Nukeduck', ' Patrik', ' Mikyx']","['Irrelevant', ' Shlatan', ' Vetheo', ' Neon', ' Mersa']",LEC
2022-06-17,12.11,SK Gaming,Team BDS,SK Gaming,"['JNX', ' Gilius', ' Sertuss', ' Jezu', ' Treatz']","['Agresivoo', ' Cinkrof', ' NUCLEARINT', ' xMatty', ' Erdote']",LEC
2022-06-17,12.11,Team Vitality,MAD Lions,MAD Lions,"['Alphari', ' Haru', ' Perkz', ' Carzzy', ' Labrov']","['Armut', ' Elyoya', ' Nisqy', ' UNF0RGIVEN', ' Kaiser']",LEC
2022-09-11,12.15,Rogue (European Team),G2 Esports,Rogue (European Team),"['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['BrokenBlade', ' Jankos', ' caPs', ' Flakked', ' Targamas']",LEC
2022-09-11,12.15,G2 Esports,Rogue (European Team),Rogue (European Team),"['BrokenBlade', ' Jankos', ' caPs', ' Flakked', ' Targamas']","['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']",LEC
2022-09-11,12.15,G2 Esports,Rogue (European Team),Rogue (European Team),"['BrokenBlade', ' Jankos', ' caPs', ' Flakked', ' Targamas']","['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']",LEC
2022-09-10,12.15,Fnatic,Rogue (European Team),Rogue (European Team),"['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']","['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']",LEC
2022-09-10,12.15,Rogue (European Team),Fnatic,Rogue (European Team),"['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']",LEC
2022-09-10,12.15,Rogue (European Team),Fnatic,Rogue (European Team),"['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']",LEC
2022-09-10,12.15,Rogue (European Team),Fnatic,Fnatic,"['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']",LEC
2022-09-04,12.15,MAD Lions,Fnatic,Fnatic,"['Armut', ' Elyoya', ' Nisqy', ' UNF0RGIVEN', ' Kaiser']","['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']",LEC
2022-09-04,12.15,Fnatic,MAD Lions,Fnatic,"['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']","['Armut', ' Elyoya', ' Nisqy', ' UNF0RGIVEN', ' Kaiser']",LEC
2022-09-04,12.15,MAD Lions,Fnatic,MAD Lions,"['Armut', ' Elyoya', ' Nisqy', ' UNF0RGIVEN', ' Kaiser']","['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']",LEC
2022-09-04,12.15,MAD Lions,Fnatic,Fnatic,"['Armut', ' Elyoya', ' Nisqy', ' UNF0RGIVEN', ' Kaiser']","['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']",LEC
2022-09-03,12.15,Rogue (European Team),G2 Esports,G2 Esports,"['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['BrokenBlade', ' Jankos', ' caPs', ' Flakked', ' Targamas']",LEC
2022-09-03,12.15,Rogue (European Team),G2 Esports,G2 Esports,"['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['BrokenBlade', ' Jankos', ' caPs', ' Flakked', ' Targamas']",LEC
2022-09-03,12.15,G2 Esports,Rogue (European Team),G2 Esports,"['BrokenBlade', ' Jankos', ' caPs', ' Flakked', ' Targamas']","['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']",LEC
2022-09-02,12.15,Misfits Gaming,Fnatic,Fnatic,"['Irrelevant', ' Zanzarah', ' Vetheo', ' Neon', ' Mersa']","['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']",LEC
2022-09-02,12.15,Misfits Gaming,Fnatic,Fnatic,"['Irrelevant', ' Zanzarah', ' Vetheo', ' Neon', ' Mersa']","['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']",LEC
2022-09-02,12.15,Misfits Gaming,Fnatic,Fnatic,"['Irrelevant', ' Zanzarah', ' Vetheo', ' Neon', ' Mersa']","['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']",LEC
2022-08-28,12.15,Excel Esports,Fnatic,Fnatic,"['Finn', ' Markoon', ' Nukeduck', ' Patrik', ' Mikyx']","['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']",LEC
2022-08-28,12.15,Excel Esports,Fnatic,Fnatic,"['Finn', ' Markoon', ' Nukeduck', ' Patrik', ' Mikyx']","['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']",LEC
2022-08-28,12.15,Fnatic,Excel Esports,Fnatic,"['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']","['Finn', ' Markoon', ' Nukeduck', ' Patrik', ' Mikyx']",LEC
2022-08-28,12.15,Fnatic,Excel Esports,Excel Esports,"['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']","['Finn', ' Markoon', ' Nukeduck', ' Patrik', ' Mikyx']",LEC
2022-08-28,12.15,Fnatic,Excel Esports,Excel Esports,"['Wunder', ' Razork', ' Humanoid', ' Upset', ' Hylissang']","['Finn', ' Markoon', ' Nukeduck', ' Patrik', ' Mikyx']",LEC
